titulo,descricao,fonte,data_publicacao,regiao,query_busca
"Seu Direito Digital: a carta de Trump, regras para IA na Europa e Grok descontrolado","Semana cheia! No Seu Direito Digital, você tira dúvidas sobre a carta de Lula a Trump, a regulação de IA na Europa e as polêmicas do Grok
O post Seu Direito Digital: a carta de Trump, regras para IA na Europa e Grok descontrolado apareceu primeiro em Olhar Di…",Olhardigital.com.br,2025-07-11T00:24:15Z,Pernambuco,"""Lula"" AND Brasil"
Governo resiste à pressão dos EUA e defenderá modelo do Pix,"Governo Lula defenderá que o Pix é um sistema consolidado, amplamente adotado e não sofrerá alterações por pressão externa
O post Governo resiste à pressão dos EUA e defenderá modelo do Pix apareceu primeiro em Olhar Digital.",Olhardigital.com.br,2025-07-16T20:59:19Z,Pernambuco,"""Lula"" AND Brasil"
Lula recebe Brics com governo em pé de guerra com Congresso e dúvidas sobre futuro do bloco,Petista enfrenta duas crises ao mesmo tempo no Brasil: queda de popularidade e dificuldade na relação com o Congresso Nacional.,BBC News,2025-07-04T08:20:38Z,Pernambuco,"""Lula"" AND Brasil"
Bolsonaristas 'traidores' da nação x 'vexame' do governo Lula: as reações à nova tarifa de Trump,"Após carta de Trump a Lula, políticos governistas dizem que bolsonaristas são 'traidores'; e bolsonaristas culpam a política externa do petista.",BBC News,2025-07-09T23:42:32Z,Pernambuco,"""Lula"" AND Brasil"
Lula e Trump: Brasil e Estados Unidos vivem pior momento das relações entre os dois países?,Especialistas ouvidos pela BBC News Brasil apontam que crise das tarifas é o pior momento das relações entre Brasil e Estados Unidos,BBC News,2025-07-14T07:24:47Z,Pernambuco,"""Lula"" AND Brasil"
"Encarregado de negócios da embaixada americana não descarta adiamento de tarifaço, diz jornal",Reunião entre diplomata dos EUA e líder do governo Lula tocou no tema do adiamento de sobretaxa de 50% contra o Brasil,Abril.com.br,2025-07-17T13:56:26Z,Pernambuco,"""Lula"" AND Brasil"
Os 3 caminhos que o governo Lula estuda para enfrentar tarifas de Trump,"Antes de partir para a retaliação contra os EUA, governo Lula avalia outras estratégias, como diversificar os parceiros comerciais do Brasil e apostar no desgaste de bolsonaristas diante do impacto das tarifas",BBC News,2025-07-10T21:32:03Z,Pernambuco,"""Lula"" AND Brasil"
"'Bullying de Trump contra Brasil está saindo pela culatra', diz jornal americano Washington Post","O artigo do jornal da capital americana afirma que a demonstração de força dos EUA acabou fortalecendo Lula, que vem ganhando popularidade com o episódio e até mesmo apoio de parte das elites do país.",BBC News,2025-07-21T08:40:21Z,Pernambuco,"""Lula"" AND Brasil"
"‘Bullying de Trump contra Brasil está saindo pela culatra’, diz jornal americano",Diplomata ouvido pelo 'Washington Post' afirmou que 'Natal chegou cedo' para Lula devido a ataque 'desajeitado' do presidente dos EUA,Abril.com.br,2025-07-21T12:59:57Z,Pernambuco,"""Lula"" AND Brasil"
Frase do dia: Lula,Presidente da República,Abril.com.br,2025-07-05T13:30:50Z,Pernambuco,"""Lula"" AND Brasil"
"Trump diz que pode negociar tarifa de 50% com Lula, mas 'não agora', e volta a elogiar Bolsonaro","Trump disse que conversa com Lula pode ocorrer ""em algum momento"". Ele também voltou a elogiar o ex-presidente Jair Bolsonaro (PL) e afirmou que considera injusto o tratamento dado a ele.",BBC News,2025-07-11T16:18:50Z,Pernambuco,"""Lula"" AND Brasil"
Frase do dia: Lula,Presidente da República,Abril.com.br,2025-07-08T11:39:44Z,Pernambuco,"""Lula"" AND Brasil"
"'Chocante agressão de Trump ao Brasil' é das maiores interferências na América Latina desde a Guerra Fria, diz The Economist","Segundo a revista britânica, gatilho para ações de Donald Trump contra o Brasil parece ter sido reunião de cúpula dos Brics no Rio de Janeiro.",BBC News,2025-07-25T14:25:21Z,Pernambuco,"""Lula"" AND Brasil"
O que dizem pesquisas sobre popularidade de Lula após tarifaço de Trump,"Anúncio de Trump de que pretende taxar em 50% os produtos brasileiros repercutiu positivamente para o governo Lula, segundo pesquisas de opinião divulgadas nos últimos dias.",BBC News,2025-07-16T15:52:28Z,Pernambuco,"""Lula"" AND Brasil"
Como o Brasil poderia retaliar os EUA após tarifas de Trump,Lula diz que ‘qualquer medida de elevação de tarifas de forma unilateral será respondida à luz da Lei brasileira de Reciprocidade Econômica’.,BBC News,2025-07-11T13:03:42Z,Pernambuco,"""Lula"" AND Brasil"
"Depois de tarifa ao Brasil, Trump anuncia 30% de taxa para México e União Europeia","Anúncio deste sábado vem depois de Trump ter anunciado tarifas a Japão, Coreia do Sul, Canadá e Brasil",BBC News,2025-07-12T13:15:54Z,Pernambuco,"""Lula"" AND Brasil"
Proposta de taxação das redes sociais não deve sair do papel,"O presidente Lula defendeu a ideia nesta semana, mas o foco do governo está na regulamentação das redes sociais
O post Proposta de taxação das redes sociais não deve sair do papel apareceu primeiro em Olhar Digital.",Olhardigital.com.br,2025-07-24T12:29:18Z,Pernambuco,"""Lula"" AND Brasil"
'Trump não é xerife do mundo' e 'deve estar muito mal informado': o que Lula disse após anúncio de tarifas dos EUA,"O presidente do Brasil deu longas entrevistas ao Jornal Nacional, da Globo, e ao Jornal da Record na quinta-feira (10/7). Confira os principais destaques.",BBC News,2025-07-11T12:29:02Z,Pernambuco,"""Lula"" AND Brasil"
A nova polêmica alçada por Lula e Milei e a profecia da bolsa após recorde,"VEJA Mercado: economista Roberto Troster comenta o novo climão entre Brasil e Argentina no Mercosul, o recorde nominal do Ibovespa e a queda do dólar",Abril.com.br,2025-07-04T11:00:41Z,Pernambuco,"""Lula"" AND Brasil"
"Lula diz que Trump não é 'imperador do mundo', e Casa Branca responde",Lula afirmou à CNN que republicano age como se tivesse o poder de impor tarifas e sanções arbitrárias; governo dos EUA respondeu com críticas à política ambiental e digital do Brasil,BBC News,2025-07-17T20:54:56Z,Pernambuco,"""Lula"" AND Brasil"
Lula chama postura de Trump de 'irresponsável' e diz que mundo não quer 'imperador',Declarações acontecem após manifestações de Trump em redes sociais nas quais fez ameaças a países que adotarem políticas supostamente antiamericanas,BBC News,2025-07-07T19:15:17Z,Pernambuco,"""Lula"" AND Brasil"
Por que governo Lula planeja aderir à ação que acusa Israel de suposto genocídio em Gaza,Brasil deverá enviar manifestação crítica a Israel dentro de um processo movido pela África do Sul contra o governo de Benjamin Netanyahu,BBC News,2025-07-16T07:37:46Z,Pernambuco,"""Lula"" AND Brasil"
O passo a passo de crise com Trump que levou Moraes a impor tornozeleira eletrônica a Bolsonaro,"Da ameaça de uso da Lei Magnitsky à reação do STF, veja os principais fatos recentes na crise diplomática entre Brasil e EUA",BBC News,2025-07-18T14:32:34Z,Pernambuco,"""Lula"" AND Brasil"
Por que governo Lula não 'torce' por prisão de Bolsonaro (agora)?,"Segundo pessoas próximas a Lula, governo avalia que prisão de Bolsonaro antes de julgamento no STF alimentaria discurso de perseguição do ex-presidente e criaria ruído em meio a tarifaço de Trump",BBC News,2025-07-24T07:54:30Z,Pernambuco,"""Lula"" AND Brasil"
"'Trump está ajudando Lula, não Bolsonaro', diz colunista do Financial Times",O colunista do Financial Times (FT) Edward Luce publicou nesta terça-feira (22/07) texto afirmando que Brasil é hoje um farol democrático mais forte que os EUA.,BBC News,2025-07-23T02:15:46Z,Pernambuco,"""Lula"" AND Brasil"
"'Olho por olho, dente por dente?' O que diz a Lei de Reciprocidade que Lula pode usar contra EUA",Lula assinou decreto que regulamenta a lei que poderá ser usada para retaliar os Estados Unidos por tarifa de 50% sobre produtos brasileiros.,BBC News,2025-07-15T08:17:56Z,Pernambuco,"""Lula"" AND Brasil"
VÍDEO | O Brasil na mira de Trump: o que pode acontecer após nova tarifa de 50%,Trump anunciou nova taxa justificando que há uma 'caça às bruxas' contra o ex-presidente Bolsonaro devido ao julgamento no STF por tentativa de golpe,BBC News,2025-07-10T20:35:31Z,Pernambuco,"""Lula"" AND Brasil"
Por que o Pix entrou na mira de Trump?,"Investigação comercial contra o Brasil promovida pelo governo dos Estados Unidos cita o sistema de transferências instantâneas
O post Por que o Pix entrou na mira de Trump? apareceu primeiro em Olhar Digital.",Olhardigital.com.br,2025-07-17T15:28:40Z,Pernambuco,"""Lula"" AND Brasil"
Governo Lula já trata tarifas como realidade e não espera recuo de Trump,Integrantes do governo Lula tratam as tarifas anunciadas por Trump como realidade e vêem pouca chance dos EUA recuarem por enquanto,BBC News,2025-07-20T09:35:00Z,Pernambuco,"""Lula"" AND Brasil"
